,experiment,merge_method,dataset,accuracy,precision,recall,f1_score
0,Random Interpolation Weights With Seed 42,barycenter,CIFAR-100,58.9,62.29415141681509,58.9,57.979545173706995
1,Random Interpolation Weights With Seed 42,barycenter,Food101,82.56237623762375,83.48117484787454,82.56237623762375,82.60678380181076
2,Random Interpolation Weights With Seed 42,barycenter,Flowers102,99.2156862745098,99.315210932858,99.19389978213509,99.21491441733062
3,Random Interpolation Weights With Seed 42,linear,CIFAR-100,54.96,59.42515535807688,54.96000000000001,54.294576208600034
4,Random Interpolation Weights With Seed 42,linear,Food101,73.48514851485149,76.49623308891461,73.48514851485149,73.62570535725717
5,Random Interpolation Weights With Seed 42,linear,Flowers102,99.11764705882354,99.21717171717174,99.08496732026147,99.11080466197339
6,Random Interpolation Weights With Seed 42,pairwise_slerp,CIFAR-100,54.87,59.32214204107763,54.870000000000005,54.18719809120363
7,Random Interpolation Weights With Seed 42,pairwise_slerp,Food101,73.48910891089109,76.50804243161119,73.48910891089109,73.63110270264895
8,Random Interpolation Weights With Seed 42,pairwise_slerp,Flowers102,99.11764705882354,99.21717171717174,99.08496732026147,99.11080466197339
