,experiment,merge_method,dataset,accuracy,precision,recall,f1_score
0,Random Interpolation Weights With Seed 42,barycenter,CIFAR-100,87.64,88.15690909445155,87.64000000000001,87.58039617422597
1,Random Interpolation Weights With Seed 42,barycenter,Food-101,84.06336633663366,84.91928274877309,84.06336633663368,84.1247571874876
2,Random Interpolation Weights With Seed 42,barycenter,Flowers-102,95.29411764705881,96.45485905866529,95.27035056446822,95.0126922673831
3,Random Interpolation Weights With Seed 42,linear,CIFAR-100,87.56,88.10161855299283,87.56,87.50658872670137
4,Random Interpolation Weights With Seed 42,linear,Food-101,84.0910891089109,84.94831607498605,84.09108910891088,84.15323170888843
5,Random Interpolation Weights With Seed 42,linear,Flowers-102,95.49019607843138,96.59411522733323,95.46642899584077,95.20069526242716
6,Random Interpolation Weights With Seed 42,pairwise_slerp,CIFAR-100,87.57000000000001,88.11628525757051,87.57000000000001,87.51549570670839
7,Random Interpolation Weights With Seed 42,pairwise_slerp,Food-101,84.05544554455446,84.92020546653795,84.05544554455444,84.12458964857625
8,Random Interpolation Weights With Seed 42,pairwise_slerp,Flowers-102,95.49019607843138,96.59411522733323,95.46642899584077,95.20069526242716
